time,y,x,spatial_ref,stac_id,platform,ndvi
2022-12-08 13:52:03.510031,5918625.0,410875.0,32721,LC09_L2SP_226086_20221208_02_T1,landsat-9,
2022-12-09 13:45:10.236985,5918625.0,410875.0,32721,LC08_L2SP_225084_20221209_02_T1,landsat-8,
2022-12-10 13:39:18.212826,5918625.0,410875.0,32721,LC09_L2SP_224085_20221210_02_T1,landsat-9,0.2543775186334296
2022-12-16 13:51:16.859139,5918625.0,410875.0,32721,LC08_L2SP_226084_20221216_02_T1,landsat-8,
2022-12-17 13:45:52.158748,5918625.0,410875.0,32721,LC09_L2SP_225086_20221217_02_T1,landsat-9,
2022-12-18 13:38:53.549680,5918625.0,410875.0,32721,LC08_L2SP_224084_20221218_02_T1,landsat-8,
2022-12-26 13:38:52.123158,5918625.0,410875.0,32721,LC09_L2SP_224084_20221226_02_T1,landsat-9,0.22233173753872149
2023-01-02 13:45:05.253449,5918625.0,410875.0,32721,LC09_L2SP_225084_20230102_02_T1,landsat-9,
2023-01-09 13:51:15.283145,5918625.0,410875.0,32721,LC09_L2SP_226084_20230109_02_T1,landsat-9,
2023-01-10 13:45:24.570477,5918625.0,410875.0,32721,LC08_L2SP_225085_20230110_02_T1,landsat-8,
2023-01-17 13:51:04.959554,5918625.0,410875.0,32721,LC08_L2SP_226084_20230117_02_T1,landsat-8,
2023-01-19 13:38:45.208511,5918625.0,410875.0,32721,LC08_L2SP_224084_20230119_02_T1,landsat-8,0.1921639760565935
2023-02-10 13:51:19.260995,5918625.0,410875.0,32721,LC09_L2SP_226084_20230210_02_T1,landsat-9,
2023-02-11 13:44:56.598147,5918625.0,410875.0,32721,LC08_L2SP_225084_20230211_02_T1,landsat-8,
2023-02-18 13:51:01.137086,5918625.0,410875.0,32721,LC08_L2SP_226084_20230218_02_T1,landsat-8,
2023-02-19 13:45:00.365687,5918625.0,410875.0,32721,LC09_L2SP_225084_20230219_02_T1,landsat-9,
2023-02-20 13:38:36.925584,5918625.0,410875.0,32721,LC08_L2SP_224084_20230220_02_T1,landsat-8,0.2549895423446418
2023-02-26 13:51:04.922365,5918625.0,410875.0,32721,LC09_L2SP_226084_20230226_02_T1,landsat-9,
2023-02-27 13:44:41.511435,5918625.0,410875.0,32721,LC08_L2SP_225084_20230227_02_T1,landsat-8,
