FECHA,TMAX,TMIN,TPROM,NOMBRE
3/15/2023,30.6,24.5,27.55,AEROPARQUE AERO
3/14/2023,35.1,27.4,31.25,AEROPARQUE AERO
3/13/2023,31.8,26.4,29.1,AEROPARQUE AERO
3/12/2023,34.6,27.8,31.2,AEROPARQUE AERO
3/11/2023,35.6,26.5,31.05,AEROPARQUE AERO
3/10/2023,33.1,25.1,29.1,AEROPARQUE AERO
3/9/2023,31.6,24.1,27.85,AEROPARQUE AERO
3/8/2023,30.5,24.8,27.65,AEROPARQUE AERO
3/7/2023,30.6,22.2,26.4,AEROPARQUE AERO
3/6/2023,32.1,25.1,28.6,AEROPARQUE AERO
3/5/2023,29.7,23.1,26.4,AEROPARQUE AERO
3/4/2023,34.7,23.6,29.15,AEROPARQUE AERO
3/3/2023,32.1,23.9,28,AEROPARQUE AERO
3/2/2023,34.3,23.5,28.9,AEROPARQUE AERO
3/1/2023,34.1,23.5,28.8,AEROPARQUE AERO
2/28/2023,32.6,22.5,27.55,AEROPARQUE AERO
2/27/2023,28.1,20.5,24.3,AEROPARQUE AERO
2/26/2023,26.2,18,22.1,AEROPARQUE AERO
2/25/2023,30.1,20.8,25.45,AEROPARQUE AERO
2/24/2023,29.6,22.3,25.95,AEROPARQUE AERO
2/23/2023,31.7,22.4,27.05,AEROPARQUE AERO
2/22/2023,32.6,21.4,27,AEROPARQUE AERO
2/21/2023,29.5,20.4,24.95,AEROPARQUE AERO
2/20/2023,27.6,18.3,22.95,AEROPARQUE AERO
2/19/2023,25.6,15.8,20.7,AEROPARQUE AERO
2/18/2023,23.7,9.4,16.55,AEROPARQUE AERO
2/17/2023,15.9,8.3,12.1,AEROPARQUE AERO
2/16/2023,27.8,14,20.9,AEROPARQUE AERO
2/15/2023,28.8,20.8,24.8,AEROPARQUE AERO
2/14/2023,33.8,22.8,28.3,AEROPARQUE AERO
2/13/2023,32.2,23.1,27.65,AEROPARQUE AERO
2/12/2023,36.5,27.9,32.2,AEROPARQUE AERO
2/11/2023,36.6,27,31.8,AEROPARQUE AERO
2/10/2023,34.1,25.2,29.65,AEROPARQUE AERO
2/9/2023,32.1,22.8,27.45,AEROPARQUE AERO
2/8/2023,31.3,25.2,28.25,AEROPARQUE AERO
2/7/2023,32.1,23.8,27.95,AEROPARQUE AERO
2/6/2023,31.6,22.3,26.95,AEROPARQUE AERO
2/5/2023,29.1,19.2,24.15,AEROPARQUE AERO
2/4/2023,29.8,18.8,24.3,AEROPARQUE AERO
2/3/2023,26.6,19.2,22.9,AEROPARQUE AERO
2/2/2023,27,22.2,24.6,AEROPARQUE AERO
2/1/2023,27.4,23.2,25.3,AEROPARQUE AERO
1/31/2023,28.6,23.1,25.85,AEROPARQUE AERO
1/30/2023,27.6,21.6,24.6,AEROPARQUE AERO
1/29/2023,28.5,23.3,25.9,AEROPARQUE AERO
1/28/2023,29.3,21.8,25.55,AEROPARQUE AERO
1/27/2023,27.7,20,23.85,AEROPARQUE AERO
1/26/2023,31.7,24.8,28.25,AEROPARQUE AERO
1/25/2023,32.6,20.9,26.75,AEROPARQUE AERO
1/24/2023,33.6,23,28.3,AEROPARQUE AERO
1/23/2023,29.5,22.3,25.9,AEROPARQUE AERO
1/22/2023,35.2,22.5,28.85,AEROPARQUE AERO
1/21/2023,32.6,21.9,27.25,AEROPARQUE AERO
1/20/2023,31.6,21.3,26.45,AEROPARQUE AERO
1/19/2023,30.6,23.6,27.1,AEROPARQUE AERO
1/18/2023,29,22.4,25.7,AEROPARQUE AERO
1/17/2023,34.2,25.8,30,AEROPARQUE AERO
1/16/2023,32.7,24.8,28.75,AEROPARQUE AERO
1/15/2023,33.1,23.5,28.3,AEROPARQUE AERO
1/14/2023,31,20.3,25.65,AEROPARQUE AERO
1/13/2023,30.8,21.5,26.15,AEROPARQUE AERO
1/12/2023,30.6,18.2,24.4,AEROPARQUE AERO
1/11/2023,28.6,23.4,26,AEROPARQUE AERO
1/10/2023,29.9,22.6,26.25,AEROPARQUE AERO
1/9/2023,29.1,22.5,25.8,AEROPARQUE AERO
1/8/2023,29.6,22.8,26.2,AEROPARQUE AERO
1/7/2023,30.6,22.5,26.55,AEROPARQUE AERO
1/6/2023,32.1,23.3,27.7,AEROPARQUE AERO
1/5/2023,31.9,20,25.95,AEROPARQUE AERO
1/4/2023,28.1,18.8,23.45,AEROPARQUE AERO
1/3/2023,32.6,19,25.8,AEROPARQUE AERO
1/2/2023,30.7,16.9,23.8,AEROPARQUE AERO
1/1/2023,26.6,19.5,23.05,AEROPARQUE AERO
12/31/2022,31.6,22.2,26.9,AEROPARQUE AERO
12/30/2022,35.1,21.3,28.2,AEROPARQUE AERO
12/29/2022,27.5,18.7,23.1,AEROPARQUE AERO
12/28/2022,31.1,20.8,25.95,AEROPARQUE AERO
12/27/2022,29.7,19.2,24.45,AEROPARQUE AERO
12/26/2022,26.6,16.8,21.7,AEROPARQUE AERO
12/25/2022,24.1,13.7,18.9,AEROPARQUE AERO
12/24/2022,24.2,17.5,20.85,AEROPARQUE AERO
12/23/2022,27.1,21.1,24.1,AEROPARQUE AERO
12/22/2022,30.1,21.7,25.9,AEROPARQUE AERO
12/21/2022,28.1,20.8,24.45,AEROPARQUE AERO
12/20/2022,29.6,21.6,25.6,AEROPARQUE AERO
12/19/2022,27.8,20.4,24.1,AEROPARQUE AERO
12/18/2022,27.2,19.5,23.35,AEROPARQUE AERO
12/17/2022,25.1,17.4,21.25,AEROPARQUE AERO
12/16/2022,23.1,17.3,20.2,AEROPARQUE AERO
