FECHA,TMAX,TMIN,TPROM,NOMBRE
3/15/2023,30.8,24.2,27.5,EL PALOMAR AERO
3/14/2023,37,26.9,31.95,EL PALOMAR AERO
3/13/2023,35.5,26.6,31.05,EL PALOMAR AERO
3/12/2023,37,26.5,31.75,EL PALOMAR AERO
3/11/2023,39.5,23.2,31.35,EL PALOMAR AERO
3/10/2023,38.6,25.7,32.15,EL PALOMAR AERO
3/9/2023,33.5,20.1,26.8,EL PALOMAR AERO
3/8/2023,34.4,20.2,27.3,EL PALOMAR AERO
3/7/2023,33.8,21.4,27.6,EL PALOMAR AERO
3/6/2023,38.3,24.6,31.45,EL PALOMAR AERO
3/5/2023,33.5,23.2,28.35,EL PALOMAR AERO
3/4/2023,34.9,23.3,29.1,EL PALOMAR AERO
3/3/2023,36,22.5,29.25,EL PALOMAR AERO
3/2/2023,39.5,23,31.25,EL PALOMAR AERO
3/1/2023,37.9,23,30.45,EL PALOMAR AERO
2/28/2023,37,20.2,28.6,EL PALOMAR AERO
2/27/2023,32,18,25,EL PALOMAR AERO
2/26/2023,28.5,16.6,22.55,EL PALOMAR AERO
2/25/2023,34.4,17.7,26.05,EL PALOMAR AERO
2/24/2023,33.1,17.5,25.3,EL PALOMAR AERO
2/23/2023,31.5,17.3,24.4,EL PALOMAR AERO
2/22/2023,33.2,18,25.6,EL PALOMAR AERO
2/21/2023,31.1,18.9,25,EL PALOMAR AERO
2/20/2023,29.6,10,19.8,EL PALOMAR AERO
2/19/2023,26.5,12.3,19.4,EL PALOMAR AERO
2/18/2023,23.2,6.8,15,EL PALOMAR AERO
2/17/2023,17,7.5,12.25,EL PALOMAR AERO
2/16/2023,27,14,20.5,EL PALOMAR AERO
2/15/2023,32.5,17.7,25.1,EL PALOMAR AERO
2/14/2023,33,17.2,25.1,EL PALOMAR AERO
2/13/2023,34,22.4,28.2,EL PALOMAR AERO
2/12/2023,39.5,28.5,34,EL PALOMAR AERO
2/11/2023,38.5,21,29.75,EL PALOMAR AERO
2/10/2023,37.5,19.4,28.45,EL PALOMAR AERO
2/9/2023,35.3,18,26.65,EL PALOMAR AERO
2/8/2023,33.5,22.5,28,EL PALOMAR AERO
2/7/2023,36.3,23,29.65,EL PALOMAR AERO
2/6/2023,33.5,16.2,24.85,EL PALOMAR AERO
2/5/2023,32,13.3,22.65,EL PALOMAR AERO
