FECHA,TMAX,TMIN,TPROM,NOMBRE
Mar-22,24.41,12.01,18.21,EL PALOMAR AERO
Abr-22,22.85,9.48,16.17,EL PALOMAR AERO
May-22,18.24,4.95,11.6,EL PALOMAR AERO
Jun-22,15.2,2.47,8.84,EL PALOMAR AERO
Jul-22,16.46,5.88,11.17,EL PALOMAR AERO
Ago-22,18.58,5.17,11.87,EL PALOMAR AERO
Set-22,20.96,6.74,13.85,EL PALOMAR AERO
Oct-22,23.38,10.18,16.78,EL PALOMAR AERO
Nov-22,28.68,16.03,22.35,EL PALOMAR AERO
Dec-22,30.98,17.89,24.44,EL PALOMAR AERO
Ene-23,32.42,19.77,26.1,EL PALOMAR AERO
Feb-23,31.53,19.85,26.12,EL PALOMAR AERO
Mar-23,36.01,23.63,29.82,EL PALOMAR AERO
