FECHA,TMAX,TMIN,TPROM,NOMBRE
Mar-22,23.91,14.49,18.21,AEROPARQUE AERO
Abr-22,21.76,14.51,18.13,AEROPARQUE AERO
May-22,17.31,10.35,13.83,AEROPARQUE AERO
Jun-22,13.98,7.28,10.63,AEROPARQUE AERO
Jul-22,15.55,8.92,12.24,AEROPARQUE AERO
Ago-22,16.7,9.38,13.04,AEROPARQUE AERO
Set-22,19.05,11.44,15.25,AEROPARQUE AERO
Oct-22,22.12,13.14,17.63,AEROPARQUE AERO
Nov-22,26.68,17.67,22.17,AEROPARQUE AERO
Dec-22,28.9,19.86,24.38,AEROPARQUE AERO
Ene-23,30.65,21.87,26.26,AEROPARQUE AERO
Feb-23,29.64,20.63,25.14,AEROPARQUE AERO
Mar-23,32.7,24.77,28.73,AEROPARQUE AERO
