FECHA,TMAX,TMIN,NOMBRE
Mar-23,-6,-11.5,BASE BELGRANO II
Mar-23,4.5,0.2,BASE CARLINI (EX JUBANY)
Mar-23,5,-0.8,BASE ESPERANZA
Mar-23,3.5,-2.2,BASE MARAMBIO
Mar-23,5.2,1.5,BASE ORCADAS
Mar-23,2.3,-2,BASE SAN MARTIN
Mar-23,30,20,BENITO JUAREZ AERO
Mar-23,26,19.2,BERNARDO DE IRIGOYEN AERO
Mar-23,28.6,21,BOLIVAR AERO
Mar-23,37,27.6,BUENOS AIRES OBSERVATORIO
Mar-23,,24.8,CAMPO DE MAYO AERO
Mar-23,32,21,CATAMARCA AERO
Mar-23,34,23.2,CERES AERO
Mar-23,28.8,17.6,CHAMICAL AERO
Mar-23,23.5,8.3,CHAPELCO AERO
Mar-23,30,17,CHEPES
Mar-23,,19,CHILECITO AERO
Mar-23,34.2,15.5,CIPOLLETTI
Mar-23,27.5,12.1,COMODORO RIVADAVIA AERO
Mar-23,36.9,25.3,CONCORDIA AERO
Mar-23,27.5,19,CORDOBA AERO
Mar-23,31.1,20.8,CORDOBA OBSERVATORIO
Mar-23,26.8,19,CORONEL PRINGLES AERO
Mar-23,26.4,19.7,CORONEL SUAREZ AERO
Mar-23,34.3,23.5,CORRIENTES AERO
Mar-23,35.6,,DOLORES AERO
Mar-23,23.5,5.5,EL BOLSON AERO
Mar-23,14.9,5.5,EL CALAFATE AERO
Mar-23,37,26.9,EL PALOMAR AERO
Mar-23,30.4,20,ESCUELA DE AVIACION MILITAR AERO
Mar-23,21.6,,ESQUEL AERO
Mar-23,37.1,26.8,EZEIZA AERO
Mar-23,34.4,23.7,FORMOSA AERO
Mar-23,27,19.5,GENERAL PICO AERO
Mar-23,20.8,10.4,GOBERNADOR GREGORES AERO
Mar-23,38,23.3,GUALEGUAYCHU AERO
Mar-23,28.2,22.2,IGUAZU AERO
Mar-23,32,23.5,ITUZAINGO
Mar-23,29.5,16,JACHAL
Mar-23,32.7,20.5,JUJUY AERO
Mar-23,28.5,17,JUJUY U N
Mar-23,34.3,23.2,JUNIN AERO
Mar-23,36.2,25.9,LA PLATA AERO
Mar-23,21.6,8.6,LA QUIACA OBSERVATORIO
Mar-23,32,21.7,LA RIOJA AERO
Mar-23,29,19.8,LABOULAYE AERO
Mar-23,37,21.7,LAS FLORES
Mar-23,34,23.6,LAS LOMITAS
Mar-23,28.3,14.1,MALARGUE AERO
Mar-23,26.5,9.5,MAQUINCHAO
Mar-23,28.4,21.6,MAR DEL PLATA AERO
Mar-23,30.2,22.2,MARCOS JUAREZ AERO
Mar-23,36.5,,MARIANO MORENO AERO
Mar-23,31,20,MENDOZA AERO
Mar-23,29.7,19.4,MENDOZA OBSERVATORIO
Mar-23,34.8,24,MERCEDES AERO (CTES)
Mar-23,,26,MERLO AERO
Mar-23,31.3,20,METAN
Mar-23,,22.6,MONTE CASEROS AERO
Mar-23,37,26.8,MORON AERO
Mar-23,34,14,NEUQUEN AERO
Mar-23,31.8,22.9,NUEVE DE JULIO
Mar-23,31,23,OBERA
Mar-23,29.7,20.5,OLAVARRIA AERO
Mar-23,34,21.7,ORAN AERO
Mar-23,34.1,24.8,PARANA AERO
Mar-23,26,6.8,PASO DE INDIOS
Mar-23,34,24.8,PASO DE LOS LIBRES AERO
Mar-23,27.9,20.3,PEHUAJO AERO
Mar-23,,10.5,PERITO MORENO AERO
Mar-23,27.6,18.8,PIGUE AERO
Mar-23,29.2,18.6,PILAR OBSERVATORIO
Mar-23,30.9,24.7,POSADAS AERO
Mar-23,35.1,21.8,PRESIDENCIA ROQUE SAENZ PEﾑA AERO
Mar-23,23.4,12.6,PUERTO DESEADO AERO
Mar-23,34.8,13.2,PUERTO MADRYN AERO
Mar-23,35.4,25,PUNTA INDIO B.A.
Mar-23,32.7,23.3,RAFAELA AERO
Mar-23,34.9,25.2,RECONQUISTA AERO
Mar-23,35.2,22.8,RESISTENCIA AERO
Mar-23,33.2,19.2,RIO COLORADO
Mar-23,26.4,18.2,RIO CUARTO AERO
Mar-23,21.2,7.2,RIO GALLEGOS AERO
Mar-23,13,4.9,RIO GRANDE B.A.
Mar-23,38,,RIVADAVIA
Mar-23,36.1,23.8,ROSARIO AERO
Mar-23,30.2,17.8,SALTA AERO
Mar-23,36.3,14.2,SAN ANTONIO OESTE AERO
Mar-23,31,16.4,SAN CARLOS (MZA)
Mar-23,36.4,25.1,SAN FERNANDO AERO
Mar-23,32.4,21.6,SAN JUAN AERO
Mar-23,23.6,9.8,SAN JULIAN AERO
Mar-23,29.3,17.5,SAN LUIS AERO
Mar-23,30.5,18.5,SAN MARTIN (MZA)
Mar-23,31.5,19.1,SAN RAFAEL AERO
Mar-23,25.6,8.6,SANTA CRUZ AERO
Mar-23,28.8,19.2,SANTA ROSA AERO
Mar-23,28.1,,SANTA ROSA DE CONLARA AERO
Mar-23,36.2,24.8,SANTIAGO DEL ESTERO AERO
Mar-23,33.9,23.6,SAUCE VIEJO AERO
Mar-23,34.6,23,SUNCHALES AERO
Mar-23,32,20,TANDIL AERO
Mar-23,35.4,20.6,TARTAGAL AERO
Mar-23,33.2,23,TERMAS DE RIO HONDO AERO
Mar-23,30.6,17.5,TINOGASTA
Mar-23,35.4,11.1,TRELEW AERO
Mar-23,,20.1,TRENQUE LAUQUEN
Mar-23,30.5,21.7,TRES ARROYOS
Mar-23,30.8,22,TUCUMAN AERO
Mar-23,8.8,1,USHUAIA AERO
Mar-23,29.4,10.7,USPALLATA
Mar-23,30,22.4,VENADO TUERTO AERO
Mar-23,28.5,17.7,VICTORICA
Mar-23,,18.9,VIEDMA AERO
Mar-23,31,22.8,VILLA DE MARIA DEL RIO SECO
Mar-23,30.2,17.8,VILLA DOLORES AERO
Mar-23,34.4,22.5,VILLA GESELL AERO
Mar-23,28.3,18.5,VILLA REYNOLDS AERO
Mar-23,31.8,26.4,AEROPARQUE AERO
Mar-23,34.5,19.9,AZUL AERO
Mar-23,28.6,18.6,BAHIA BLANCA AERO
Mar-23,21.5,4.2,BARILOCHE AERO
Mar-23,-3.4,-11.8,BASE BELGRANO II
Mar-23,4,1.2,BASE CARLINI (EX JUBANY)
Mar-23,3,-1.6,BASE ESPERANZA
Mar-23,2.1,-1.5,BASE MARAMBIO
Mar-23,5.2,1,BASE ORCADAS
Mar-23,1.9,-1.8,BASE SAN MARTIN
Mar-23,,20.6,BENITO JUAREZ AERO
Mar-23,25.9,20,BERNARDO DE IRIGOYEN AERO
Mar-23,35.3,22.1,BOLIVAR AERO
Mar-23,35,27,BUENOS AIRES OBSERVATORIO
Mar-23,,23.4,CAMPO DE MAYO AERO
Mar-23,39,28.1,CATAMARCA AERO
Mar-23,37.8,22,CERES AERO
Mar-23,38,25.4,CHAMICAL AERO
Mar-23,24.2,8.3,CHAPELCO AERO
Mar-23,33,24,CHEPES
Mar-23,,21.5,CHILECITO AERO
Mar-23,32.8,16.2,CIPOLLETTI
Mar-23,25.1,13.3,COMODORO RIVADAVIA AERO
Mar-23,37,24.9,CONCORDIA AERO
Mar-23,36.5,20.4,CORDOBA AERO
Mar-23,37.5,25.6,CORDOBA OBSERVATORIO
Mar-23,25.8,16.2,CORONEL PRINGLES AERO
Mar-23,28,21,CORONEL SUAREZ AERO
Mar-23,35.9,23.9,CORRIENTES AERO
Mar-23,35.7,23.1,DOLORES AERO
Mar-23,23.6,5.5,EL BOLSON AERO
Mar-23,14.9,7.5,EL CALAFATE AERO
Mar-23,35.5,26.6,EL PALOMAR AERO
Mar-23,35.6,20.5,ESCUELA DE AVIACION MILITAR AERO
Mar-23,20,,ESQUEL AERO
Mar-23,35.7,26.3,EZEIZA AERO
Mar-23,35.8,25.2,FORMOSA AERO
Mar-23,31.6,19.8,GENERAL PICO AERO
Mar-23,21,8.5,GOBERNADOR GREGORES AERO
Mar-23,38.5,23.6,GUALEGUAYCHU AERO
Mar-23,28.3,21.5,IGUAZU AERO
Mar-23,36,23,ITUZAINGO
Mar-23,30.5,16.5,JACHAL
Mar-23,34.2,20.8,JUJUY AERO
Mar-23,32.7,18.4,JUJUY U N
Mar-23,38.4,20,JUNIN AERO
Mar-23,35,24.9,LA PLATA AERO
Mar-23,21.7,6.9,LA QUIACA OBSERVATORIO
Mar-23,36.5,26.7,LA RIOJA AERO
Mar-23,34.6,19.5,LABOULAYE AERO
Mar-23,37,23.8,LAS FLORES
Mar-23,35.5,24,LAS LOMITAS
Mar-23,25.1,13.3,MALARGUE AERO
Mar-23,26,8,MAQUINCHAO
Mar-23,33.5,22.6,MAR DEL PLATA AERO
Mar-23,37.5,19.5,MARCOS JUAREZ AERO
Mar-23,36,,MARIANO MORENO AERO
Mar-23,29.5,22,MENDOZA AERO
Mar-23,27.4,21.2,MENDOZA OBSERVATORIO
Mar-23,36.5,24.5,MERCEDES AERO (CTES)
Mar-23,,26.5,MERLO AERO
Mar-23,32.8,20.4,METAN
Mar-23,,24.5,MONTE CASEROS AERO
Mar-23,35.8,27.1,MORON AERO
Mar-23,32.3,14.2,NEUQUEN AERO
Mar-23,38.1,22.1,NUEVE DE JULIO
Mar-23,35,23,OBERA
Mar-23,34.2,18.5,OLAVARRIA AERO
Mar-23,36.5,23.7,ORAN AERO
Mar-23,37.5,23.2,PARANA AERO
Mar-23,22.4,8,PASO DE INDIOS
Mar-23,37,24,PASO DE LOS LIBRES AERO
Mar-23,34.2,23.7,PEHUAJO AERO
Mar-23,,7,PERITO MORENO AERO
Mar-23,26.4,19.8,PIGUE AERO
Mar-23,36.8,22,PILAR OBSERVATORIO
Mar-23,33.5,24.8,POSADAS AERO
Mar-23,37,22,PRESIDENCIA ROQUE SAENZ PEﾑA AERO
Mar-23,24,8.4,PUERTO DESEADO AERO
Mar-23,23.8,14.6,PUERTO MADRYN AERO
Mar-23,32.2,24,PUNTA INDIO B.A.
Mar-23,38,22.5,RAFAELA AERO
Mar-23,36.1,24.4,RECONQUISTA AERO
Mar-23,35.8,23.7,RESISTENCIA AERO
Mar-23,30.8,17.8,RIO COLORADO
Mar-23,32.8,22.2,RIO CUARTO AERO
Mar-23,16.6,5.6,RIO GALLEGOS AERO
Mar-23,14,2.3,RIO GRANDE B.A.
Mar-23,38,23.8,RIVADAVIA
Mar-23,37.8,23.9,ROSARIO AERO
Mar-23,31,16.8,SALTA AERO
Mar-23,25,15.2,SAN ANTONIO OESTE AERO
Mar-23,26.5,17.9,SAN CARLOS (MZA)
Mar-23,34.5,24.7,SAN FERNANDO AERO
Mar-23,30.4,21,SAN JUAN AERO
Mar-23,22.5,12.9,SAN JULIAN AERO
Mar-23,28.2,18.3,SAN LUIS AERO
Mar-23,27.3,18.2,SAN MARTIN (MZA)
Mar-23,26.8,17.6,SAN RAFAEL AERO
Mar-23,16.8,8.2,SANTA CRUZ AERO
Mar-23,26.3,18.3,SANTA ROSA AERO
Mar-23,34.6,,SANTA ROSA DE CONLARA AERO
Mar-23,39.5,23.7,SANTIAGO DEL ESTERO AERO
Mar-23,38.3,25.5,SAUCE VIEJO AERO
Mar-23,38.6,21.9,SUNCHALES AERO
Mar-23,34,18.5,TANDIL AERO
Mar-23,36.5,23.2,TARTAGAL AERO
Mar-23,38.4,25.4,TERMAS DE RIO HONDO AERO
Mar-23,37,19.5,TINOGASTA
Mar-23,28.2,15.7,TRELEW AERO
Mar-23,,23,TRENQUE LAUQUEN
Mar-23,30.4,20,TRES ARROYOS
Mar-23,36.6,25,TUCUMAN AERO
Mar-23,11.7,2.8,USHUAIA AERO
Mar-23,26.8,9,USPALLATA
Mar-23,37.5,20.8,VENADO TUERTO AERO
Mar-23,26.6,17.5,VICTORICA
Mar-23,,16.3,VIEDMA AERO
Mar-23,,21.2,VILLA DE MARIA DEL RIO SECO
Mar-23,35.7,23.6,VILLA DOLORES AERO
Mar-23,33.1,22.5,VILLA GESELL AERO
Mar-23,28.6,19.2,VILLA REYNOLDS AERO
Mar-23,34.6,27.8,AEROPARQUE AERO
Mar-23,37.2,20.6,AZUL AERO
Mar-23,36,22,BAHIA BLANCA AERO
Mar-23,18.9,13.1,BARILOCHE AERO
Mar-23,-1.7,-13.7,BASE BELGRANO II
Mar-23,4.2,3,BASE CARLINI (EX JUBANY)
Mar-23,3.5,0.3,BASE ESPERANZA
Mar-23,1.7,-0.8,BASE MARAMBIO
Mar-23,5.2,2,BASE ORCADAS
Mar-23,2.1,-8,BASE SAN MARTIN
Mar-23,35.5,22,BENITO JUAREZ AERO
Mar-23,27.5,19.2,BERNARDO DE IRIGOYEN AERO
Mar-23,37.9,23,BOLIVAR AERO
Mar-23,36.5,28,BUENOS AIRES OBSERVATORIO
Mar-23,,26.6,CAMPO DE MAYO AERO
Mar-23,39.6,27.9,CATAMARCA AERO
Mar-23,38.1,22.5,CERES AERO
Mar-23,38.7,25.4,CHAMICAL AERO
Mar-23,22.7,14.1,CHAPELCO AERO
Mar-23,35.5,25,CHEPES
Mar-23,,21.5,CHILECITO AERO
Mar-23,35.6,14.8,CIPOLLETTI
Mar-23,25.7,16.5,COMODORO RIVADAVIA AERO
Mar-23,38.8,25.2,CONCORDIA AERO
Mar-23,36.2,21.2,CORDOBA AERO
Mar-23,37.5,26.5,CORDOBA OBSERVATORIO
Mar-23,35.2,22,CORONEL PRINGLES AERO
Mar-23,34.8,20.5,CORONEL SUAREZ AERO
Mar-23,36.7,21.3,CORRIENTES AERO
Mar-23,39.5,22.3,DOLORES AERO
Mar-23,22.8,16.1,EL BOLSON AERO
Mar-23,20.4,3.5,EL CALAFATE AERO
Mar-23,37,26.5,EL PALOMAR AERO
Mar-23,35.9,22.8,ESCUELA DE AVIACION MILITAR AERO
Mar-23,20.2,,ESQUEL AERO
Mar-23,37.6,28.8,EZEIZA AERO
Mar-23,37.5,21.8,FORMOSA AERO
Mar-23,37,21.6,GENERAL PICO AERO
Mar-23,19.4,9.6,GOBERNADOR GREGORES AERO
Mar-23,39.2,23.8,GUALEGUAYCHU AERO
Mar-23,31.4,22,IGUAZU AERO
Mar-23,36.8,21.5,ITUZAINGO
Mar-23,,,JACHAL
Mar-23,35,19.9,JUJUY AERO
Mar-23,33,18.1,JUJUY U N
Mar-23,38.7,20.6,JUNIN AERO
Mar-23,36.6,27,LA PLATA AERO
Mar-23,22.8,6.3,LA QUIACA OBSERVATORIO
Mar-23,38.7,26.4,LA RIOJA AERO
Mar-23,37.7,19.6,LABOULAYE AERO
Mar-23,39,23.5,LAS FLORES
Mar-23,36,24.2,LAS LOMITAS
Mar-23,28.2,13,MALARGUE AERO
Mar-23,23,14.2,MAQUINCHAO
Mar-23,36,19.8,MAR DEL PLATA AERO
Mar-23,38.1,19.5,MARCOS JUAREZ AERO
Mar-23,37.5,,MARIANO MORENO AERO
Mar-23,32.5,23.9,MENDOZA AERO
Mar-23,31.6,23.6,MENDOZA OBSERVATORIO
Mar-23,37,24,MERCEDES AERO (CTES)
Mar-23,,,MERLO AERO
Mar-23,31.5,21,METAN
Mar-23,,24.4,MONTE CASEROS AERO
Mar-23,37.6,27.8,MORON AERO
Mar-23,34.7,12.6,NEUQUEN AERO
Mar-23,39.6,23.6,NUEVE DE JULIO
Mar-23,,,OBERA
Mar-23,35.9,21.1,OLAVARRIA AERO
Mar-23,37,23.3,ORAN AERO
Mar-23,38.1,23.5,PARANA AERO
Mar-23,25.9,18.1,PASO DE INDIOS
Mar-23,37.2,23.3,PASO DE LOS LIBRES AERO
Mar-23,39,23.1,PEHUAJO AERO
Mar-23,,9,PERITO MORENO AERO
Mar-23,35,21.8,PIGUE AERO
Mar-23,36.6,21.7,PILAR OBSERVATORIO
Mar-23,34.6,24.8,POSADAS AERO
Mar-23,37.3,21.3,PRESIDENCIA ROQUE SAENZ PEﾑA AERO
Mar-23,22.8,12.5,PUERTO DESEADO AERO
Mar-23,30.2,22.8,PUERTO MADRYN AERO
Mar-23,36,26.8,PUNTA INDIO B.A.
Mar-23,37.5,22,RAFAELA AERO
Mar-23,37.2,23.4,RECONQUISTA AERO
Mar-23,37.2,19.9,RESISTENCIA AERO
